date,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
2020-12-27,Austria,AUT,2020-12-27,739.0,739.0,,,,0.01,0.01,,,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2020-12-28,Austria,AUT,2020-12-28,2053.0,2053.0,,1314.0,1314.0,0.02,0.02,,146.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2020-12-29,Austria,AUT,2020-12-29,3681.0,3681.0,,1628.0,1471.0,0.04,0.04,,163.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2020-12-30,Austria,AUT,2020-12-30,5044.0,5044.0,,1363.0,1435.0,0.06,0.06,,159.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2020-12-31,Austria,AUT,2020-12-31,5054.0,5054.0,,10.0,1079.0,0.06,0.06,,120.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-01,Austria,AUT,2021-01-01,5061.0,5061.0,,7.0,864.0,0.06,0.06,,96.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-02,Austria,AUT,2021-01-02,5069.0,5069.0,,8.0,722.0,0.06,0.06,,80.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-03,Austria,AUT,2021-01-03,5075.0,5075.0,,6.0,619.0,0.06,0.06,,69.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-04,Austria,AUT,2021-01-04,5197.0,5197.0,,122.0,449.0,0.06,0.06,,50.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-05,Austria,AUT,2021-01-05,7003.0,7003.0,,1806.0,475.0,0.08,0.08,,53.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-06,Austria,AUT,2021-01-06,7858.0,7858.0,,855.0,402.0,0.09,0.09,,45.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-07,Austria,AUT,2021-01-07,11133.0,11133.0,,3275.0,868.0,0.12,0.12,,96.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-08,Austria,AUT,2021-01-08,24225.0,24225.0,,13092.0,2738.0,0.27,0.27,,304.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-09,Austria,AUT,2021-01-09,28703.0,28703.0,,4478.0,3376.0,0.32,0.32,,375.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-10,Austria,AUT,2021-01-10,30948.0,30948.0,,2245.0,3696.0,0.34,0.34,,410.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-11,Austria,AUT,2021-01-11,36616.0,36616.0,,5668.0,4488.0,0.41,0.41,,498.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-12,Austria,AUT,2021-01-12,51547.0,51547.0,,14931.0,6363.0,0.57,0.57,,706.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
2021-01-13,Austria,AUT,2021-01-13,67590.0,67590.0,,16043.0,8533.0,0.75,0.75,,947.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
