date,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,people_fully_vaccinated_per_hundred
2020-12-27,AUT,739.0,739.0,,,,0.01,,
2020-12-28,AUT,2053.0,2053.0,,1314.0,1314.0,0.02,146.0,
2020-12-29,AUT,3681.0,3681.0,,1628.0,1471.0,0.04,163.0,
2020-12-30,AUT,5044.0,5044.0,,1363.0,1435.0,0.06,159.0,
2020-12-31,AUT,5054.0,5054.0,,10.0,1079.0,0.06,120.0,
2021-01-01,AUT,5061.0,5061.0,,7.0,864.0,0.06,96.0,
2021-01-02,AUT,5069.0,5069.0,,8.0,722.0,0.06,80.0,
2021-01-03,AUT,5075.0,5075.0,,6.0,619.0,0.06,69.0,
2021-01-04,AUT,5197.0,5197.0,,122.0,449.0,0.06,50.0,
2021-01-05,AUT,7003.0,7003.0,,1806.0,475.0,0.08,53.0,
2021-01-06,AUT,7858.0,7858.0,,855.0,402.0,0.09,45.0,
2021-01-07,AUT,11133.0,11133.0,,3275.0,868.0,0.12,96.0,
2021-01-08,AUT,24225.0,24225.0,,13092.0,2738.0,0.27,304.0,
2021-01-09,AUT,28703.0,28703.0,,4478.0,3376.0,0.32,375.0,
2021-01-10,AUT,30948.0,30948.0,,2245.0,3696.0,0.34,410.0,
2021-01-11,AUT,36616.0,36616.0,,5668.0,4488.0,0.41,498.0,
2021-01-12,AUT,51547.0,51547.0,,14931.0,6363.0,0.57,706.0,
2021-01-13,AUT,67590.0,67590.0,,16043.0,8533.0,0.75,947.0,
2021-01-14,AUT,84494.0,84494.0,,16904.0,10480.0,0.94,1164.0,
2021-01-15,AUT,103015.0,103015.0,,18521.0,11256.0,1.14,1250.0,
2021-01-16,AUT,109894.0,109883.0,11.0,6879.0,11599.0,1.22,1288.0,0.0
2021-01-17,AUT,115600.0,115223.0,377.0,5706.0,12093.0,1.28,1343.0,0.0
