,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp,date,country,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
0,2021-03-01,1,3,2021,668998,13074,Sweden,SE,SWE,10327589,Europe,2021-03-01,Sweden,SWE,,,,,22355.0,,,,2214.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
1,2021-03-02,2,3,2021,6191,23,Sweden,SE,SWE,10327589,Europe,2021-03-02,Sweden,SWE,,,,,22979.0,,,,2275.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
2,2021-03-03,3,3,2021,4876,19,Sweden,SE,SWE,10327589,Europe,2021-03-03,Sweden,SWE,,,,,23602.0,,,,2337.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
3,2021-03-04,4,3,2021,4884,19,Sweden,SE,SWE,10327589,Europe,2021-03-04,Sweden,SWE,,,,,24225.0,,,,2399.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
4,2021-03-05,5,3,2021,4070,14,Sweden,SE,SWE,10327589,Europe,2021-03-05,Sweden,SWE,,,,,24848.0,,,,2460.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
5,2021-03-06,6,3,2021,3455,12,Sweden,SE,SWE,10327589,Europe,2021-03-06,Sweden,SWE,,,,,25471.0,,,,2522.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
6,2021-03-07,7,3,2021,1451,17,Sweden,SE,SWE,10327589,Europe,2021-03-07,Sweden,SWE,1029238.0,699149.0,330089.0,,26094.0,10.19,6.92,3.27,2584.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
7,2021-03-08,8,3,2021,1984,24,Sweden,SE,SWE,10327589,Europe,2021-03-08,Sweden,SWE,,,,,26808.0,,,,2654.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
8,2021-03-09,9,3,2021,5928,20,Sweden,SE,SWE,10327589,Europe,2021-03-09,Sweden,SWE,,,,,27522.0,,,,2725.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
9,2021-03-10,10,3,2021,5329,20,Sweden,SE,SWE,10327589,Europe,2021-03-10,Sweden,SWE,,,,,28236.0,,,,2796.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
10,2021-03-11,11,3,2021,5334,15,Sweden,SE,SWE,10327589,Europe,2021-03-11,Sweden,SWE,,,,,28950.0,,,,2867.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
11,2021-03-12,12,3,2021,4996,19,Sweden,SE,SWE,10327589,Europe,2021-03-12,Sweden,SWE,,,,,29664.0,,,,2937.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
12,2021-03-13,13,3,2021,3953,19,Sweden,SE,SWE,10327589,Europe,2021-03-13,Sweden,SWE,,,,,30378.0,,,,3008.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
13,2021-03-14,14,3,2021,1040,22,Sweden,SE,SWE,10327589,Europe,2021-03-14,Sweden,SWE,1246879.0,877388.0,369491.0,,31092.0,12.35,8.69,3.66,3079.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
14,2021-03-15,15,3,2021,2717,21,Sweden,SE,SWE,10327589,Europe,2021-03-15,Sweden,SWE,,,,,30191.0,,,,2989.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
15,2021-03-16,16,3,2021,6786,15,Sweden,SE,SWE,10327589,Europe,2021-03-16,Sweden,SWE,,,,,29290.0,,,,2900.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
