dateRep,countryterritoryCode,daily_vaccinations,daily_vaccinations_per_million,people_fully_vaccinated,total_vaccinations_per_hundred
2021-03-01,SWE,22355.0,2214.0,,
2021-03-02,SWE,22979.0,2275.0,,
2021-03-03,SWE,23602.0,2337.0,,
2021-03-04,SWE,24225.0,2399.0,,
2021-03-05,SWE,24848.0,2460.0,,
2021-03-06,SWE,25471.0,2522.0,,
2021-03-07,SWE,26094.0,2584.0,330089.0,10.19
2021-03-08,SWE,26808.0,2654.0,,
2021-03-09,SWE,27522.0,2725.0,,
2021-03-10,SWE,28236.0,2796.0,,
2021-03-11,SWE,28950.0,2867.0,,
2021-03-12,SWE,29664.0,2937.0,,
2021-03-13,SWE,30378.0,3008.0,,
2021-03-14,SWE,31092.0,3079.0,369491.0,12.35
2021-03-15,SWE,30191.0,2989.0,,
2021-03-16,SWE,29290.0,2900.0,,
2021-03-17,SWE,28389.0,2811.0,,
2021-03-18,SWE,27488.0,2722.0,,
2021-03-19,SWE,26587.0,2633.0,,
2021-03-20,SWE,25686.0,2543.0,,
2021-03-21,SWE,24786.0,2454.0,424403.0,14.06
2021-03-22,SWE,25241.0,2499.0,,
2021-03-23,SWE,25696.0,2544.0,,
2021-03-24,SWE,26151.0,2589.0,,
2021-03-25,SWE,26606.0,2634.0,,
2021-03-26,SWE,27061.0,2680.0,,
2021-03-27,SWE,27516.0,2725.0,,
2021-03-28,SWE,27971.0,2770.0,491905.0,16.0
2021-03-29,SWE,29339.0,2905.0,,
2021-03-30,SWE,30707.0,3041.0,,
2021-03-31,SWE,32075.0,3176.0,,
2021-04-01,SWE,33443.0,3311.0,,
2021-04-02,SWE,34811.0,3447.0,,
2021-04-03,SWE,36179.0,3582.0,,
2021-04-04,SWE,37547.0,3718.0,559037.0,18.61
2021-04-05,SWE,40458.0,4006.0,,
2021-04-06,SWE,43369.0,4294.0,,
2021-04-07,SWE,46279.0,4582.0,,
2021-04-08,SWE,49190.0,4871.0,,
2021-04-09,SWE,52101.0,5159.0,,
2021-04-10,SWE,55011.0,5447.0,,
2021-04-11,SWE,57922.0,5735.0,,
2021-04-12,SWE,57922.0,5735.0,,
2021-04-13,SWE,57922.0,5735.0,,
2021-04-14,SWE,57922.0,5735.0,,
2021-04-15,SWE,57922.0,5735.0,,
2021-04-16,SWE,57922.0,5735.0,,
2021-04-17,SWE,57922.0,5735.0,,
2021-04-18,SWE,57922.0,5735.0,715835.0,26.63
2021-04-19,SWE,58399.0,5782.0,,
2021-04-20,SWE,58876.0,5830.0,,
2021-04-21,SWE,59353.0,5877.0,,
2021-04-22,SWE,59830.0,5924.0,,
2021-04-23,SWE,60308.0,5972.0,,
2021-04-24,SWE,60785.0,6019.0,,
2021-04-25,SWE,61262.0,6066.0,753627.0,30.88
2021-04-26,SWE,60396.0,5980.0,,
2021-04-27,SWE,59531.0,5895.0,,
2021-04-28,SWE,58665.0,5809.0,,
2021-04-29,SWE,57800.0,5723.0,,
2021-04-30,SWE,56934.0,5637.0,,
2021-05-01,SWE,56069.0,5552.0,,
2021-05-02,SWE,55203.0,5466.0,780596.0,34.71
2021-05-03,SWE,46391.0,4594.0,,
2021-05-04,SWE,37579.0,3721.0,,
2021-05-05,SWE,28766.0,2848.0,775438.0,34.51
2021-05-06,SWE,32007.0,3169.0,794198.0,35.29
2021-03-01,ESP,106220.0,2272.0,1266700.0,8.36
2021-03-02,ESP,110663.0,2367.0,1287002.0,8.68
2021-03-03,ESP,113276.0,2423.0,1308913.0,9.05
2021-03-04,ESP,123706.0,2646.0,1342485.0,9.56
2021-03-05,ESP,124505.0,2663.0,,
2021-03-06,ESP,125304.0,2680.0,,
2021-03-07,ESP,126104.0,2697.0,1383488.0,10.08
2021-03-08,ESP,134273.0,2872.0,1412236.0,10.37
2021-03-09,ESP,132884.0,2842.0,1447838.0,10.67
2021-03-10,ESP,134716.0,2881.0,1503258.0,11.06
2021-03-11,ESP,125884.0,2692.0,1583244.0,11.45
2021-03-12,ESP,124860.0,2671.0,,
2021-03-13,ESP,123835.0,2649.0,,
2021-03-14,ESP,122810.0,2627.0,,
2021-03-15,ESP,113750.0,2433.0,1693674.0,12.07
2021-03-16,ESP,107530.0,2300.0,1728537.0,12.28
2021-03-17,ESP,97854.0,2093.0,1804615.0,12.53
2021-03-18,ESP,91514.0,1957.0,1886813.0,12.82
2021-03-19,ESP,92814.0,1985.0,,
2021-03-20,ESP,94115.0,2013.0,,
2021-03-21,ESP,95416.0,2041.0,,
2021-03-22,ESP,96716.0,2069.0,2110868.0,13.52
2021-03-23,ESP,95283.0,2038.0,2156598.0,13.71
2021-03-24,ESP,109001.0,2331.0,2276233.0,14.16
2021-03-25,ESP,120910.0,2586.0,2392202.0,14.63
2021-03-26,ESP,141696.0,3031.0,2505842.0,15.12
2021-03-27,ESP,153965.0,3293.0,,
2021-03-28,ESP,166235.0,3555.0,,
2021-03-29,ESP,178504.0,3818.0,2604209.0,16.19
2021-03-30,ESP,189631.0,4056.0,2644076.0,16.55
2021-03-31,ESP,202152.0,4324.0,2721084.0,17.19
2021-04-01,ESP,214631.0,4591.0,2797015.0,17.84
2021-04-02,ESP,196858.0,4210.0,,
2021-04-03,ESP,187601.0,4012.0,2841148.0,18.28
2021-04-04,ESP,177533.0,3797.0,,
2021-04-05,ESP,167465.0,3582.0,2852806.0,18.7
2021-04-06,ESP,183484.0,3924.0,2902291.0,19.29
2021-04-07,ESP,188955.0,4041.0,2941831.0,20.01
2021-04-08,ESP,209911.0,4490.0,3020450.0,20.99
2021-04-09,ESP,255207.0,5458.0,3072109.0,21.88
2021-04-10,ESP,266803.0,5706.0,,
2021-04-11,ESP,279209.0,5972.0,,
2021-04-12,ESP,291615.0,6237.0,3108437.0,23.07
2021-04-13,ESP,293237.0,6272.0,3136091.0,23.68
2021-04-14,ESP,296889.0,6350.0,3185186.0,24.46
2021-04-15,ESP,296222.0,6336.0,3253537.0,25.42
2021-04-16,ESP,299847.0,6413.0,3328701.0,26.37
2021-04-17,ESP,298403.0,6382.0,,
2021-04-18,ESP,296959.0,6351.0,,
2021-04-19,ESP,295515.0,6321.0,3411914.0,27.49
2021-04-20,ESP,281054.0,6011.0,3452119.0,27.89
2021-04-21,ESP,294534.0,6300.0,3611606.0,28.87
2021-04-22,ESP,289268.0,6187.0,3768015.0,29.75
2021-04-23,ESP,276499.0,5914.0,3862789.0,30.51
2021-04-24,ESP,283722.0,6068.0,,
2021-04-25,ESP,290945.0,6223.0,3947465.0,31.47
2021-04-26,ESP,305867.0,6542.0,4020945.0,32.07
2021-04-27,ESP,333833.0,7140.0,4166758.0,32.89
